,team,opponent,goals,total_score,total_count,rank_difference,home
23044,Tuvalu,United Koreans in Japan,0,0.0,3,0.0,0
10657,Greece,Albania,2,709.9166666666665,6,-70.83333333333334,1
1164,Brazil,Venezuela,4,57.8,6,-90.4,1
11800,El Salvador,Honduras,0,209.0,2,90.63636363636364,0
22583,Belgium,Mexico,3,1300.6666666666667,7,-9.833333333333332,1
3226,Burkina Faso,Nigeria,0,21.6,3,54.90000000000001,0
15074,Gambia,Angola,1,331.54545454545456,0,9.181818181818187,0
15302,Portugal,Cameroon,3,1143.3636363636365,6,-23.545454545454547,1
18177,Nepal,Bangladesh,0,100.91666666666669,5,10.333333333333314,1
4660,Israel,Poland,0,47.0,5,-1.2000000000000028,0
8121,Grenada,Saint Martin,7,311.09090909090907,3,135.0909090909091,0
14935,Zimbabwe,Zambia,3,303.0,4,23.33333333333333,1
5978,Ivory Coast,Rwanda,2,0.0,3,-143.66666666666666,0
6219,Turkey,Sweden,0,589.4166666666666,5,12.5,0
5215,Senegal,Burkina Faso,2,419.5,4,8.416666666666671,0
1825,Oman,United Arab Emirates,0,22.0,2,22.0,0
5185,Haiti,Cuba,1,331.4166666666667,5,18.416666666666657,0
20233,Mexico,Chile,3,877.9166666666665,5,12.333333333333336,0
4278,Honduras,Mexico,0,34.3,2,76.4,0
13172,Croatia,Netherlands,0,1148.4166666666667,6,2.500000000000001,1
7949,Kenya,Tanzania,1,436.8181818181818,10,-52.99999999999999,1
25114,Chad,Namibia,0,939.0,0,64.33333333333333,1
5576,Central African Republic,São Tomé and Príncipe,3,17.083333333333332,0,0.3333333333333428,1
9266,France,Germany,3,807.25,5,-4.75,0
19499,Uzbekistan,New Zealand,3,529.5,6,-49.00000000000001,1
1030,Croatia,Ukraine,3,8.8,1,5.799999999999998,1
23479,Luxembourg,Belarus,0,863.8333333333335,6,2.0,1
22975,Padania,Matabeleland,6,0.0,3,0.0,1
14935,Zambia,Zimbabwe,1,393.0,12,-23.33333333333333,0
5184,Iran,Canada,1,0.0,5,-90.33333333333331,0
708,Guyana,Barbados,0,5.0,2,23.799999999999986,1
24922,Malawi,Zimbabwe,0,1140.75,4,12.75,1
22855,Antigua and Barbuda,Jamaica,1,688.4166666666665,0,76.91666666666669,0
16900,Ecuador,Peru,2,538.1666666666666,2,11.916666666666664,1
6225,Haiti,Honduras,1,434.66666666666674,6,30.00000000000001,1
21747,Iraq,United Arab Emirates,0,331.5833333333333,9,38.25,0
5625,India,Bangladesh,2,315.3333333333333,2,-34.5,1
23482,Russia,Germany,0,992.8333333333335,1,49.08333333333334,0
16468,Venezuela,Honduras,0,567.4166666666666,8,4.833333333333336,0
3468,Netherlands,France,1,59.7,5,1.3000000000000007,0
